,SQLite,MySQL,Cassandra,Oracle,MongoDB,PostgreSQL,Redis,SQL Server
371,0,0,1,0,0,0,0,0
372,0,0,0,0,0,1,0,0
373,1,0,1,0,1,0,0,1
374,0,0,0,0,1,0,1,0
376,0,1,0,0,1,1,0,0
378,0,0,0,0,0,1,0,0
380,0,1,0,0,0,1,0,1
386,0,1,1,0,1,0,0,1
388,0,0,0,0,1,0,1,0
390,0,1,0,0,1,0,0,0
391,0,0,0,0,1,0,0,1
394,0,0,0,1,0,0,0,0
395,0,0,0,0,0,0,0,1
396,1,0,0,0,0,0,0,0
398,1,0,0,0,0,0,0,1
399,1,1,0,0,0,0,0,0
400,0,0,0,0,0,1,0,0
405,0,1,0,0,0,0,0,1
406,0,0,0,0,1,0,1,0
408,0,0,0,0,0,1,1,0
410,0,1,0,0,0,1,0,0
414,0,0,0,1,0,0,0,0
417,1,1,0,1,1,1,0,1
418,0,0,0,0,1,0,0,0
420,1,0,0,0,1,0,1,0
426,1,0,0,0,0,0,0,1
431,0,1,0,1,0,1,0,1
435,0,0,0,0,1,1,1,0
436,1,0,0,0,1,0,0,1
437,0,0,0,0,0,0,1,0
438,0,1,0,0,1,1,0,0
439,1,1,1,0,0,0,1,0
441,0,0,0,0,1,1,0,0
443,0,1,0,0,0,1,1,0
444,0,0,1,0,0,1,0,1
446,1,0,0,0,1,0,0,1
448,1,0,0,0,0,0,0,1
450,0,0,1,0,0,0,0,0
452,0,1,0,0,0,0,0,0
453,0,0,0,0,1,0,0,0
460,0,0,0,0,0,0,0,1
461,0,0,0,0,0,1,0,0
463,0,0,1,0,0,0,0,0
466,0,0,0,0,0,0,1,1
470,0,0,0,0,0,0,1,1
475,1,0,0,0,0,1,0,0
477,0,1,0,0,0,0,0,1
484,1,1,0,0,0,0,0,0
488,0,1,0,0,0,0,0,0
489,0,0,1,0,0,0,0,0
490,0,0,0,0,1,0,0,0
492,0,0,0,0,0,1,1,1
494,1,1,0,0,0,0,0,0
496,1,1,0,0,0,0,0,0
499,0,0,0,0,0,0,0,1
501,0,1,0,0,0,1,0,1
502,1,0,0,0,1,0,0,0
503,0,0,0,0,0,1,1,1
504,0,0,0,0,1,0,0,0
506,0,0,0,0,0,1,0,0
507,0,1,0,0,1,0,1,0
508,1,0,1,0,0,0,0,1
509,0,0,0,0,0,0,0,1
512,1,0,0,0,0,1,1,0
515,0,0,1,0,0,0,0,0
516,1,0,0,0,0,1,0,1
521,0,0,1,0,0,1,0,0
522,0,0,0,0,0,1,1,0
528,0,0,0,0,1,1,0,0
531,1,0,0,0,0,0,0,1
532,0,0,1,0,0,1,0,0
533,0,0,0,0,1,1,1,0
534,0,0,0,0,1,0,0,0
536,1,1,1,1,1,0,1,1
539,0,0,0,0,0,1,0,0
541,0,0,1,0,0,0,0,0
546,0,0,0,0,1,0,1,0
548,0,0,0,0,1,0,1,0
552,1,0,0,0,0,1,0,0
557,0,0,0,0,0,1,1,0
560,0,0,0,1,0,0,0,0
562,0,0,0,0,0,0,1,0
563,0,1,0,0,0,0,0,0
565,0,0,0,1,0,0,0,1
567,0,0,0,0,0,1,0,0
572,0,0,0,0,0,0,0,1
575,0,0,0,0,0,0,0,1
576,0,1,1,0,1,0,1,0
577,0,0,0,0,0,0,0,1
578,0,0,0,0,1,0,0,0
579,1,0,0,0,0,0,0,0
580,0,0,0,1,1,1,1,0
581,0,1,0,0,1,0,0,0
582,0,0,1,0,1,0,0,0
584,0,0,0,1,0,1,0,1
585,0,0,0,1,0,0,1,0
586,0,0,0,0,0,1,1,0
587,0,0,0,0,0,0,1,0
591,0,0,0,0,0,1,0,0
592,0,0,0,1,1,0,0,1
593,0,1,0,0,0,0,0,1
594,1,1,0,1,0,0,1,1
597,0,1,0,0,0,1,0,0
599,0,0,0,0,0,1,1,0
603,0,0,0,0,1,0,1,0
605,0,0,0,0,1,1,0,0
606,1,0,0,0,0,0,0,0
608,0,0,0,0,1,0,1,1
609,0,1,1,1,1,1,0,0
611,0,0,0,0,0,0,0,1
612,0,0,0,0,0,1,0,0
613,0,0,0,0,0,1,0,1
614,0,0,0,0,0,0,1,0
618,0,0,0,0,0,0,1,1
625,0,0,0,0,0,0,1,0
627,0,1,0,0,0,0,1,0
634,0,0,0,0,0,0,0,1
635,0,0,0,0,0,1,1,0
643,0,1,0,0,1,0,0,0
645,0,1,0,0,0,1,1,0
646,1,1,0,0,0,0,0,0
648,0,0,0,0,0,1,1,1
649,1,0,0,0,0,0,0,0
650,1,1,0,0,0,0,0,1
653,0,1,0,0,0,1,1,0
656,0,1,0,0,0,0,0,1
657,0,0,1,0,1,0,1,0
658,0,1,0,0,0,0,0,1
664,0,0,0,0,1,0,1,0
666,0,0,0,0,0,1,0,0
668,0,0,0,0,0,0,0,1
669,0,0,0,0,0,1,0,0
673,1,0,0,0,0,0,0,0
674,1,0,0,1,0,0,0,0
678,1,0,0,0,0,0,0,0
680,0,1,0,0,0,0,1,1
681,0,0,1,0,0,1,0,0
686,0,0,0,0,0,1,1,0
688,0,0,0,0,0,1,0,0
689,0,1,0,0,0,1,1,0
690,0,0,0,0,0,0,0,1
691,0,0,1,0,0,0,1,0
694,0,0,0,0,0,0,0,1
697,0,0,0,0,0,0,1,0
701,0,0,0,0,0,0,0,1
702,1,1,0,1,1,0,0,0
703,0,0,0,0,0,1,1,0
704,0,0,0,0,1,0,0,0
707,1,0,0,0,0,0,0,1
708,0,1,0,0,0,0,0,1
709,0,0,0,0,1,0,0,0
715,1,1,0,0,0,0,0,1
718,0,1,0,1,1,0,0,0
719,0,0,0,1,0,0,0,0
721,0,0,0,0,1,1,1,0
722,1,0,0,0,1,0,1,1
723,0,0,0,0,0,1,0,0
724,1,0,0,0,0,0,1,1
725,1,0,0,0,1,0,0,1
728,0,0,1,0,0,0,1,0
730,0,0,0,0,1,0,0,0
732,0,0,0,0,1,1,0,0
733,0,0,1,0,0,0,0,0
734,0,1,0,0,1,1,0,0
735,0,0,0,0,0,1,1,0
737,0,0,1,0,0,0,0,0
740,1,0,0,1,1,0,0,0
742,0,0,0,0,0,1,1,0
743,1,1,0,1,0,1,0,1
749,1,1,0,0,0,0,0,0
755,0,0,0,0,0,0,0,1
756,1,0,0,0,0,0,0,1
757,1,1,0,0,0,1,0,0
758,0,0,0,0,0,0,0,1
759,0,1,0,0,1,0,1,0
760,0,0,0,0,0,0,0,1
762,0,0,0,1,0,0,0,0
765,0,0,0,0,1,0,0,1
768,1,0,0,0,1,0,0,0
770,0,0,1,0,0,1,0,0
772,0,1,0,0,0,1,1,0
773,1,1,0,1,0,0,0,0
774,1,0,0,0,0,0,0,1
778,0,0,0,0,0,1,0,1
779,1,0,0,0,0,1,0,0
780,0,1,0,0,0,0,1,0
781,0,0,1,0,0,0,1,0
782,0,1,0,0,0,0,0,0
784,0,0,1,0,0,0,1,1
786,0,0,0,0,0,1,0,0
790,0,0,1,0,0,0,0,0
796,0,0,0,0,0,1,0,0
797,0,0,0,0,1,0,0,0
798,0,0,0,1,0,0,0,0
799,0,0,0,0,0,1,1,0
800,0,0,0,0,1,0,0,0
801,0,0,1,0,0,1,1,0
802,0,0,0,0,0,0,1,0
805,0,1,0,0,0,0,0,0
806,0,1,0,0,0,0,1,0
807,0,0,0,0,0,0,0,1
808,0,1,0,0,0,0,0,1
810,0,0,0,0,0,0,0,1
815,1,1,0,0,0,1,1,0
822,0,0,0,0,0,0,0,1
828,1,0,0,1,1,1,1,0
831,0,0,0,0,0,1,0,0
832,0,0,0,1,0,1,0,0
833,0,0,0,0,1,1,0,1
834,0,0,1,0,0,0,1,0
836,0,0,0,0,1,0,0,0
837,1,1,1,0,1,1,0,1
841,0,1,0,0,1,0,1,0
842,0,0,0,0,0,0,0,1
847,1,0,0,0,0,0,0,1
848,0,0,0,0,1,0,0,0
849,0,0,1,0,1,1,1,0
853,0,0,0,0,0,1,1,0
854,0,0,1,0,0,1,1,0
855,0,1,0,0,0,0,0,0
856,0,0,0,0,0,0,0,1
857,0,0,0,0,0,1,1,0
858,1,0,0,0,1,1,1,0
859,0,1,1,0,0,1,1,0
860,0,1,0,0,0,0,0,0
861,0,0,0,0,0,1,0,0
865,0,1,0,0,1,0,0,0
866,0,0,0,0,0,1,0,0
867,1,1,0,0,0,0,0,0
868,1,1,0,0,0,1,0,1
876,0,0,0,0,1,0,0,1
877,0,1,0,0,1,0,0,0
879,0,0,0,0,0,0,0,1
881,0,0,0,0,0,1,0,0
882,0,1,0,0,0,0,0,0
883,0,0,0,1,1,0,0,1
884,0,0,0,0,0,1,0,0
886,0,1,0,0,0,0,0,0
889,0,0,0,0,0,1,0,0
890,0,1,0,0,0,0,1,0
895,1,0,1,0,0,0,0,0
896,1,1,0,0,1,0,0,0
897,1,0,0,0,1,0,1,1
898,0,0,1,0,1,1,1,0
901,0,1,0,0,0,1,0,0
902,0,0,0,0,0,0,1,0
903,1,1,1,1,1,1,1,1
904,0,1,1,0,0,1,0,1
905,0,0,1,0,1,0,0,0
912,0,0,1,0,0,0,0,0
915,0,0,0,0,1,0,1,0
916,1,0,0,0,0,0,0,1
917,0,0,0,0,1,0,0,0
919,0,1,0,0,0,0,0,1
921,1,1,0,0,0,0,0,1
922,1,0,0,0,0,0,0,1
923,0,1,0,0,0,1,0,0
924,0,0,0,0,0,0,1,0
925,1,1,0,0,0,0,0,0
929,1,1,0,0,0,0,1,0
933,0,1,1,0,1,1,0,0
934,0,0,1,0,1,0,0,0
936,0,0,0,0,0,1,1,1
949,0,0,0,0,1,0,0,0
950,0,0,0,0,1,0,0,0
953,0,0,0,0,0,1,0,0
956,0,0,0,0,1,0,0,0
957,0,0,0,0,0,1,0,0
961,0,0,0,0,0,1,1,1
962,0,0,0,0,0,1,0,1
968,0,1,0,0,0,1,0,1
969,0,0,0,0,0,0,0,1
976,0,1,0,0,0,0,0,1
979,0,0,1,0,1,1,1,0
980,0,1,0,0,0,0,0,1
984,0,1,0,0,0,0,0,1
986,0,0,0,0,0,1,1,0
990,0,0,1,0,0,0,0,1
991,0,0,0,0,1,1,0,0
992,1,0,0,0,0,0,0,0
995,1,0,0,0,0,0,0,0
997,0,1,0,0,0,0,0,0
999,0,0,0,0,0,1,1,1
1002,0,0,0,0,1,0,0,0
1003,0,1,0,1,0,0,0,0
1004,0,0,0,0,0,0,0,1
1005,0,1,0,0,1,0,0,0
1007,0,0,0,0,1,0,0,0
1009,0,0,0,0,0,0,1,1
1010,1,1,0,1,1,1,0,0
1011,0,1,0,0,0,0,0,0
1013,1,1,0,0,0,0,0,0
1014,0,1,0,0,0,0,0,1
1016,0,0,0,0,0,1,1,0
1018,1,1,0,0,0,0,0,0
1019,0,0,0,0,1,1,0,0
1022,0,0,0,0,0,0,0,1
1023,0,0,0,0,0,1,1,0
1024,0,0,0,0,0,1,0,0
1026,0,0,0,0,0,0,0,1
1028,0,0,0,0,0,0,0,1
1030,1,1,0,0,0,1,1,0
1031,1,0,0,0,0,0,0,0
1032,0,0,0,0,0,1,0,0
1033,1,1,1,1,1,0,1,0
1034,0,1,0,0,0,1,1,1
1037,0,0,0,0,1,0,0,0
1038,0,0,0,0,0,1,0,0
1039,0,0,1,0,0,0,1,0
1040,1,1,0,0,1,1,0,0
1043,0,0,0,0,0,0,0,1
1044,0,0,0,0,0,0,0,1
1046,1,1,1,0,1,1,1,0
1051,1,0,1,0,0,0,1,0
1052,0,1,0,0,0,0,0,0
1053,0,1,0,0,1,1,0,0
1054,0,1,0,0,1,0,1,0
1057,0,0,1,0,0,0,0,0
1059,1,1,0,0,0,0,1,1
1062,0,0,0,0,0,1,0,0
1066,0,0,0,0,0,0,0,1
1070,0,0,0,0,0,0,1,0
1071,1,0,0,0,1,0,0,0
1072,1,1,0,0,0,0,0,0
1073,0,0,0,0,1,1,0,0
1075,0,0,0,0,0,1,1,0
1076,0,0,0,0,0,0,0,1
1083,0,0,0,1,0,0,0,0
1084,0,0,0,0,1,0,1,0
1085,0,0,0,0,1,0,0,1
1086,1,0,0,0,0,0,1,1
1088,0,0,1,0,0,0,0,0
1090,0,0,0,1,1,0,0,1
1091,1,1,0,0,0,1,0,0
1094,0,1,0,0,0,0,0,0
1096,0,0,0,0,0,0,0,1
1101,0,0,0,0,1,0,0,0
1104,0,0,0,0,0,0,0,1
1111,0,0,0,0,1,1,1,0
1113,0,0,0,0,0,1,1,0
1117,0,0,0,0,1,1,0,0
1118,1,0,0,0,0,1,0,1
1119,0,0,0,0,1,0,0,0
1121,1,0,0,0,0,1,0,0
1124,0,0,0,0,0,1,0,1
1125,0,0,0,0,0,0,1,0
1129,1,0,0,1,0,1,0,1
1134,0,0,0,0,0,1,0,0
1142,0,0,0,0,0,1,0,0
1146,0,0,0,0,0,1,1,0
1147,0,0,1,0,0,0,0,1
1150,0,0,0,0,0,1,0,1
1153,0,0,0,0,1,0,0,0
1155,0,1,0,1,0,0,0,0
1156,0,0,0,0,0,1,1,0
1159,0,1,0,0,1,0,0,1
1161,0,0,0,0,0,0,0,1
1162,1,0,0,0,0,0,0,1
1164,0,1,0,0,0,0,0,0
1165,1,1,0,0,0,0,1,0
1166,0,0,0,0,0,0,1,0
1167,0,1,0,0,0,1,1,1
1169,0,0,0,0,0,1,0,0
1171,0,1,0,0,1,1,0,0
1172,0,0,0,0,1,0,0,0
1175,0,0,0,0,0,1,0,1
1184,0,1,0,1,1,1,0,0
1185,0,0,0,0,0,1,0,0
1189,0,0,0,0,1,0,1,1
1191,1,0,0,0,0,1,1,0
1192,0,1,0,0,1,0,0,0
1193,0,1,0,0,0,1,1,0
1194,1,0,0,0,0,1,1,0
1202,0,0,0,0,0,0,0,1
1203,1,0,0,0,0,0,0,0
1206,1,0,0,0,1,0,0,1
1207,1,0,0,0,0,0,1,0
1209,0,0,0,0,0,0,1,0
1210,0,1,0,0,1,1,1,1
1215,0,0,0,0,0,1,1,0
1217,0,0,1,0,1,0,0,0
1220,0,0,1,0,1,0,0,0
1223,1,1,0,0,0,1,1,0
1226,0,1,0,0,0,0,0,0
1227,0,1,0,0,1,1,1,0
1228,0,1,1,0,0,1,0,0
1230,0,0,0,0,1,1,0,0
1233,0,1,0,0,0,0,0,0
1235,0,0,0,0,1,0,1,0
1240,1,1,0,0,1,0,1,0
1242,0,1,0,0,0,0,0,0
1244,0,0,1,0,0,1,0,0
1246,1,0,0,0,0,1,0,0
1247,0,1,0,0,0,1,0,0
1248,0,1,0,0,0,0,0,0
1249,1,0,0,0,0,0,0,0
1254,1,0,1,0,1,1,1,0
1255,0,0,1,0,0,0,1,1
1259,0,1,0,0,0,0,0,0
1261,1,0,0,0,0,0,1,1
1263,0,0,0,0,1,0,0,0
1265,0,0,0,0,0,0,0,1
1267,0,0,0,0,0,0,0,1
1269,0,1,0,0,0,0,0,0
1270,0,0,0,0,0,1,1,0
1271,0,0,1,0,1,0,0,0
1273,0,0,0,1,1,0,0,0
1274,1,0,0,0,0,0,0,0
1277,0,0,0,0,0,1,0,0
1279,0,0,0,0,0,1,0,0
1281,0,0,0,0,1,0,1,0
1285,1,0,0,0,0,1,0,0
1286,0,0,1,0,0,0,0,0
1288,0,0,0,0,0,1,0,1
1293,0,0,1,0,1,0,1,0
1295,0,0,0,0,1,1,1,1
1297,1,0,0,0,0,0,0,0
1298,0,1,0,0,1,0,1,0
1299,1,1,0,0,0,0,0,1
1301,1,0,0,1,0,0,0,0
1309,0,0,0,0,0,1,0,0
1310,0,1,0,0,1,0,0,1
1315,0,0,0,0,1,1,0,0
1316,1,0,0,0,0,1,1,0
1318,0,0,1,0,0,0,0,0
1321,0,1,0,1,0,0,0,1
1323,0,0,0,0,1,0,1,0
1324,0,0,0,0,1,0,1,1
1325,0,0,0,0,0,1,0,0
1326,1,0,0,0,0,0,1,1
1327,0,1,0,0,1,0,1,0
1328,1,0,0,0,0,0,0,0
1329,0,1,0,0,1,0,1,1
1330,1,0,0,0,0,0,0,1
1334,0,0,0,0,1,1,0,0
1335,0,1,0,1,1,0,0,0
1336,0,0,0,0,0,0,0,1
1337,0,0,1,0,0,1,0,0
1341,0,1,0,0,0,1,1,0
1344,0,0,0,0,1,1,1,0
1347,0,0,0,0,0,1,0,0
1350,1,0,1,0,0,1,1,1
1352,0,0,0,0,0,0,0,1
1355,0,0,0,0,0,0,0,1
1357,0,0,0,0,0,1,0,0
1358,0,1,1,0,0,1,1,0
1360,0,0,1,0,0,0,0,0
1361,0,0,1,0,0,0,1,0
1362,0,0,1,0,0,0,1,0
1366,0,0,0,0,0,0,0,1
1370,0,0,0,0,1,0,0,1
1371,0,0,0,0,0,0,0,1
1374,0,0,0,0,0,0,1,0
1375,0,1,0,0,0,1,1,0
1376,1,0,0,1,0,0,0,1
1378,0,0,0,0,1,1,0,0
1381,1,0,0,0,0,0,0,1
1382,1,0,0,0,0,0,0,0
1383,0,1,0,0,1,0,1,0
1386,0,0,0,0,1,0,0,0
1387,0,1,1,0,0,0,1,0
1390,0,0,1,0,0,0,0,1
1391,0,1,0,0,1,0,1,0
1392,0,0,0,0,0,1,0,0
1393,1,0,0,0,0,0,0,0
1397,1,1,0,1,1,0,0,0
1399,0,0,1,0,1,0,0,0
1400,0,0,0,0,0,0,0,1
1409,0,0,0,0,1,1,1,0
1411,0,0,0,0,1,1,0,0
1413,0,0,0,0,0,1,0,0
1415,0,0,0,0,0,1,1,0
1416,0,0,0,0,0,0,0,1
1417,0,0,0,0,0,1,1,0
1419,0,0,1,0,0,0,0,0
1420,0,1,0,0,1,1,0,0
1421,0,1,0,0,0,0,0,1
1422,0,1,1,0,1,0,1,0
1423,0,1,0,0,0,1,1,0
1424,0,0,0,0,0,1,0,0
1425,0,0,0,0,1,0,0,0
1427,1,0,1,0,0,1,0,0
1429,0,1,0,0,0,0,0,0
1430,1,1,0,0,0,1,1,0
1436,0,0,0,0,0,1,0,0
1437,0,1,0,0,1,1,0,1
1439,1,1,0,0,0,0,0,0
1440,0,0,0,0,1,0,1,1
1441,0,0,0,0,0,0,0,1
1443,0,0,0,0,0,1,0,0
1445,0,0,0,0,0,1,0,0
1446,0,0,0,0,0,0,0,1
1448,1,0,0,0,1,0,0,0
1450,0,1,0,0,0,1,1,0
1452,1,0,0,0,0,0,0,0
1458,0,0,0,0,0,0,0,1
1459,1,1,0,1,1,0,0,1
1460,0,0,0,0,1,1,0,0
1462,1,1,0,0,0,0,0,0
1464,0,0,1,0,0,0,0,0
1465,0,0,0,0,0,1,0,0
1466,0,0,0,0,1,0,0,1
1470,0,0,0,0,0,1,0,0
1472,0,0,0,0,0,0,1,1
1473,0,1,0,0,0,0,0,0
1474,0,0,0,0,0,1,0,0
1475,0,0,0,0,0,0,1,0
1476,0,0,0,0,0,1,0,0
1482,1,1,0,0,0,0,0,0
1483,1,1,0,0,0,1,1,0
1484,0,0,0,0,0,1,0,0
1488,1,0,0,0,1,0,0,1
1493,0,0,0,0,1,1,0,1
1494,0,0,1,0,1,1,0,0
1496,1,0,0,0,0,0,0,0
1497,0,0,0,0,0,1,0,1
1503,0,0,0,0,0,0,0,1
1505,1,0,0,0,0,0,1,1
1507,0,0,0,0,1,0,0,0
1513,0,1,0,0,0,0,1,1
1519,1,0,0,0,1,0,1,1
1521,1,0,0,0,1,1,0,0
1522,0,0,1,0,0,1,0,0
1523,0,0,0,0,0,0,0,1
1524,0,0,0,1,1,0,0,1
1528,1,0,0,0,0,1,0,0
1529,0,1,0,0,0,0,1,0
1531,0,1,0,0,1,1,0,0
1532,0,1,0,0,0,0,0,0
1534,0,0,0,0,1,0,0,1
1535,0,0,0,0,0,0,0,1
1536,0,1,0,0,0,0,0,0
1537,0,0,0,0,0,0,1,0
1539,0,0,0,0,0,1,0,0
1542,1,1,0,0,0,0,0,1
1543,0,0,1,1,1,0,0,0
1544,0,0,0,0,1,0,1,1
1546,0,0,0,0,0,0,0,1
1549,1,0,0,0,0,1,0,0
1553,1,1,0,0,1,0,0,0
1555,0,0,0,0,0,0,0,1
1557,0,1,0,0,0,1,1,0
1558,0,0,1,0,1,1,0,0
1559,0,0,0,0,0,1,0,0
1562,0,0,0,0,0,0,0,1
1566,0,0,0,0,0,0,0,1
1567,0,0,0,0,0,1,0,0
1568,0,0,0,0,0,0,0,1
1569,0,0,0,0,0,0,1,1
1572,0,0,1,0,0,0,1,0
1576,0,0,0,0,0,1,0,0
1577,0,1,0,0,0,0,0,0
1579,0,0,0,0,1,0,0,0
1580,0,0,0,0,1,1,0,0
1581,1,0,0,0,0,0,1,0
1582,0,1,0,0,1,1,0,0
1583,0,0,1,0,1,0,1,0
1585,1,1,0,0,1,1,0,1
1591,0,0,1,0,0,0,0,1
1593,0,0,1,0,1,0,0,0
1594,0,1,1,0,0,1,1,0
1597,1,0,0,0,0,0,0,0
1602,0,1,1,0,1,0,1,0
1603,0,0,0,0,1,1,0,0
1605,0,0,0,0,1,0,0,0
1606,0,0,0,0,0,0,0,1
1608,0,0,1,0,0,0,0,0
1612,0,0,0,1,0,0,0,0
1613,0,0,1,0,0,0,0,0
1614,0,0,0,0,1,0,1,1
1615,0,0,0,0,0,1,0,0
1618,0,0,0,1,1,0,0,0
1622,0,0,0,0,0,0,0,1
1624,0,0,0,0,0,0,0,1
1627,1,0,0,0,0,1,0,0
1628,0,0,1,0,1,0,1,0
1629,1,0,0,0,0,0,0,0
1639,0,0,0,0,0,1,0,1
1641,0,0,0,0,1,0,1,0
1642,1,0,0,1,0,0,1,0
1648,0,0,0,0,0,0,1,1
1649,1,1,1,1,1,1,1,1
1651,0,0,0,0,0,1,0,1
